name,auth
Rep,"[1,1,1,1,1,1,0,0,0,0,0,0]"
Base,"[1,1,1,1,1,1,0,0,0,0,0,0]"
1coach,"[0,0,0,0,1,1,0,0,0,0,0,0]"
